pasada,modalidad,set,grabacion,pattern,window_id,t_start,t_end,slice_path,label_path,mask_path,n_points
1,caminar,train,1_1_10_H_C_resampled,1_aligned_pattern_resampled,1,1724429504,1724433103,data/input\train\slices\1_1_10_H_C_resampled_1.csv,data/input\train\labels\1_aligned_pattern_resampled_1.csv,data/input\train\masks\1_1_10_H_C_resampled_1.csv,3600
1,caminar,train,1_1_10_H_C_resampled,1_aligned_pattern_resampled,2a,1724431304,1724434903,data/input\train\slices\1_1_10_H_C_resampled_2a.csv,data/input\train\labels\1_aligned_pattern_resampled_2a.csv,data/input\train\masks\1_1_10_H_C_resampled_2a.csv,3600
1,caminar,train,1_1_10_H_C_resampled,1_aligned_pattern_resampled,3,1724433104,1724436703,data/input\train\slices\1_1_10_H_C_resampled_3.csv,data/input\train\labels\1_aligned_pattern_resampled_3.csv,data/input\train\masks\1_1_10_H_C_resampled_3.csv,3600
1,caminar,train,1_1_10_H_C_resampled,1_aligned_pattern_resampled,4a,1724434904,1724436804,data/input\train\slices\1_1_10_H_C_resampled_4a.csv,data/input\train\labels\1_aligned_pattern_resampled_4a.csv,data/input\train\masks\1_1_10_H_C_resampled_4a.csv,3600
1,caminar,train,1_1_11_E_C_resampled,1_aligned_pattern_resampled,1,1724429504,1724433103,data/input\train\slices\1_1_11_E_C_resampled_1.csv,data/input\train\labels\1_aligned_pattern_resampled_1.csv,data/input\train\masks\1_1_11_E_C_resampled_1.csv,3600
1,caminar,train,1_1_11_E_C_resampled,1_aligned_pattern_resampled,2a,1724431304,1724434903,data/input\train\slices\1_1_11_E_C_resampled_2a.csv,data/input\train\labels\1_aligned_pattern_resampled_2a.csv,data/input\train\masks\1_1_11_E_C_resampled_2a.csv,3600
1,caminar,train,1_1_11_E_C_resampled,1_aligned_pattern_resampled,3,1724433104,1724436703,data/input\train\slices\1_1_11_E_C_resampled_3.csv,data/input\train\labels\1_aligned_pattern_resampled_3.csv,data/input\train\masks\1_1_11_E_C_resampled_3.csv,3600
1,caminar,train,1_1_11_E_C_resampled,1_aligned_pattern_resampled,4a,1724434904,1724436804,data/input\train\slices\1_1_11_E_C_resampled_4a.csv,data/input\train\labels\1_aligned_pattern_resampled_4a.csv,data/input\train\masks\1_1_11_E_C_resampled_4a.csv,3600
1,caminar,train,1_1_12_I_C_resampled,1_aligned_pattern_resampled,1,1724429520,1724433119,data/input\train\slices\1_1_12_I_C_resampled_1.csv,data/input\train\labels\1_aligned_pattern_resampled_1.csv,data/input\train\masks\1_1_12_I_C_resampled_1.csv,3600
1,caminar,train,1_1_12_I_C_resampled,1_aligned_pattern_resampled,2a,1724431320,1724434919,data/input\train\slices\1_1_12_I_C_resampled_2a.csv,data/input\train\labels\1_aligned_pattern_resampled_2a.csv,data/input\train\masks\1_1_12_I_C_resampled_2a.csv,3600
1,caminar,train,1_1_12_I_C_resampled,1_aligned_pattern_resampled,3,1724433120,1724436719,data/input\train\slices\1_1_12_I_C_resampled_3.csv,data/input\train\labels\1_aligned_pattern_resampled_3.csv,data/input\train\masks\1_1_12_I_C_resampled_3.csv,3600
1,caminar,train,1_1_12_I_C_resampled,1_aligned_pattern_resampled,4a,1724434920,1724436722,data/input\train\slices\1_1_12_I_C_resampled_4a.csv,data/input\train\labels\1_aligned_pattern_resampled_4a.csv,data/input\train\masks\1_1_12_I_C_resampled_4a.csv,3600
1,caminar,train,1_1_13_J_C_resampled,1_aligned_pattern_resampled,1,1724429559,1724433158,data/input\train\slices\1_1_13_J_C_resampled_1.csv,data/input\train\labels\1_aligned_pattern_resampled_1.csv,data/input\train\masks\1_1_13_J_C_resampled_1.csv,3600
1,caminar,train,1_1_13_J_C_resampled,1_aligned_pattern_resampled,2a,1724431359,1724434958,data/input\train\slices\1_1_13_J_C_resampled_2a.csv,data/input\train\labels\1_aligned_pattern_resampled_2a.csv,data/input\train\masks\1_1_13_J_C_resampled_2a.csv,3600
1,caminar,train,1_1_13_J_C_resampled,1_aligned_pattern_resampled,3,1724433159,1724436758,data/input\train\slices\1_1_13_J_C_resampled_3.csv,data/input\train\labels\1_aligned_pattern_resampled_3.csv,data/input\train\masks\1_1_13_J_C_resampled_3.csv,3600
1,caminar,train,1_1_13_J_C_resampled,1_aligned_pattern_resampled,4a,1724434959,1724436790,data/input\train\slices\1_1_13_J_C_resampled_4a.csv,data/input\train\labels\1_aligned_pattern_resampled_4a.csv,data/input\train\masks\1_1_13_J_C_resampled_4a.csv,3600
1,caminar,train,1_1_14_J_C_resampled,1_aligned_pattern_resampled,1,1724429504,1724433103,data/input\train\slices\1_1_14_J_C_resampled_1.csv,data/input\train\labels\1_aligned_pattern_resampled_1.csv,data/input\train\masks\1_1_14_J_C_resampled_1.csv,3600
1,caminar,train,1_1_14_J_C_resampled,1_aligned_pattern_resampled,2a,1724431304,1724434903,data/input\train\slices\1_1_14_J_C_resampled_2a.csv,data/input\train\labels\1_aligned_pattern_resampled_2a.csv,data/input\train\masks\1_1_14_J_C_resampled_2a.csv,3600
1,caminar,train,1_1_14_J_C_resampled,1_aligned_pattern_resampled,3,1724433104,1724436703,data/input\train\slices\1_1_14_J_C_resampled_3.csv,data/input\train\labels\1_aligned_pattern_resampled_3.csv,data/input\train\masks\1_1_14_J_C_resampled_3.csv,3600
1,caminar,train,1_1_14_J_C_resampled,1_aligned_pattern_resampled,4a,1724434904,1724436804,data/input\train\slices\1_1_14_J_C_resampled_4a.csv,data/input\train\labels\1_aligned_pattern_resampled_4a.csv,data/input\train\masks\1_1_14_J_C_resampled_4a.csv,3600
1,caminar,train,1_1_15_J_C_resampled,1_aligned_pattern_resampled,1,1724429504,1724433103,data/input\train\slices\1_1_15_J_C_resampled_1.csv,data/input\train\labels\1_aligned_pattern_resampled_1.csv,data/input\train\masks\1_1_15_J_C_resampled_1.csv,3600
1,caminar,train,1_1_15_J_C_resampled,1_aligned_pattern_resampled,2a,1724431304,1724434903,data/input\train\slices\1_1_15_J_C_resampled_2a.csv,data/input\train\labels\1_aligned_pattern_resampled_2a.csv,data/input\train\masks\1_1_15_J_C_resampled_2a.csv,3600
1,caminar,train,1_1_15_J_C_resampled,1_aligned_pattern_resampled,3,1724433104,1724436703,data/input\train\slices\1_1_15_J_C_resampled_3.csv,data/input\train\labels\1_aligned_pattern_resampled_3.csv,data/input\train\masks\1_1_15_J_C_resampled_3.csv,3600
1,caminar,train,1_1_15_J_C_resampled,1_aligned_pattern_resampled,4a,1724434904,1724436804,data/input\train\slices\1_1_15_J_C_resampled_4a.csv,data/input\train\labels\1_aligned_pattern_resampled_4a.csv,data/input\train\masks\1_1_15_J_C_resampled_4a.csv,3600
1,caminar,train,1_1_16_M_C_resampled,1_aligned_pattern_resampled,1,1724429504,1724433103,data/input\train\slices\1_1_16_M_C_resampled_1.csv,data/input\train\labels\1_aligned_pattern_resampled_1.csv,data/input\train\masks\1_1_16_M_C_resampled_1.csv,3600
1,caminar,train,1_1_16_M_C_resampled,1_aligned_pattern_resampled,2a,1724431304,1724434903,data/input\train\slices\1_1_16_M_C_resampled_2a.csv,data/input\train\labels\1_aligned_pattern_resampled_2a.csv,data/input\train\masks\1_1_16_M_C_resampled_2a.csv,3600
1,caminar,train,1_1_16_M_C_resampled,1_aligned_pattern_resampled,3,1724433104,1724436703,data/input\train\slices\1_1_16_M_C_resampled_3.csv,data/input\train\labels\1_aligned_pattern_resampled_3.csv,data/input\train\masks\1_1_16_M_C_resampled_3.csv,3600
1,caminar,train,1_1_16_M_C_resampled,1_aligned_pattern_resampled,4a,1724434904,1724436789,data/input\train\slices\1_1_16_M_C_resampled_4a.csv,data/input\train\labels\1_aligned_pattern_resampled_4a.csv,data/input\train\masks\1_1_16_M_C_resampled_4a.csv,3600
